f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label
0.441948,-0.127341,0.243446,-0.135855,-0.09634,-0.466667,0.398507,-2.083333,0.073981,0.0,-0.108239,-0.108364,-0.120326,1.448691,-0.116105,-1.963903,0.252676,0.167398,0.12381,3.107692,-0.134091,0.0410706045049084,-0.3616833431479328,0.0739811912221257,0.1502224732389644,0.4396868077946784,-2.55115758023926,0.4722429673803799,1.0490415732952234,1.6240975852344557,2.725416977796593,0.0233157763824674,0.1066146187517211,1.916853373130668,-0.2588190451025215,0.9510565162951536,2026-02-24 23:05:00,58129,-1,R2d_continuation,5.738571428571374,5157.6,1
0.826087,-0.645652,0.006522,0.005388,-0.641441,-0.419603,0.987654,0.583333,0.234858,0.639777,0.417218,0.123096,0.00464,2.102944,0.652174,-1.554894,0.542128,0.284302,0.001802,152.333333,0.008194,-0.2485852869941369,-0.2175398633354184,0.2348578491950944,0.1690214948430867,0.17312201621353,-2.2141843971190505,-3.6439716311333368,-0.8102127659413326,0.212482269499266,4.450212765868987,-0.1528758395671697,0.002220522613207,1.7872340425176774,-0.2588190451025215,0.9510565162951536,2026-02-24 23:35:00,58135,1,R2b_v_reversal,5.03571428571435,5149.96,0
0.0,0.170843,0.829157,-0.829157,0.029187,-0.433333,0.79565,-1.583333,0.133333,0.0,-0.337922,0.241042,-1.913548,0.484326,-1.0,-1.052434,-0.28839,0.380087,1.131498,0.206044,-0.988134,-0.3476804123766508,-0.4403356121837024,0.1333333333321736,0.2208561799265528,0.0127114133045164,-1.614232209707554,-3.0468164793437285,-2.539325842649113,0.2883895131032025,3.9344569287652535,-0.0196899715243429,0.0790432367615359,1.6853932583953792,-0.2588190451025215,0.9510565162951536,2026-02-24 23:55:00,58139,-1,R2d_continuation,5.340000000000081,5141.33,1
0.711409,0.003356,0.426174,0.303185,0.001926,0.711664,0.783437,2.083333,0.925022,0.0,0.326731,-0.061934,0.877567,1.362426,0.422819,0.242782,-2.179616,0.259808,0.311355,1.346457,0.569287,-0.0038795070902474,0.4175257731700692,0.9250217959854962,0.934338591558349,0.6463498357403052,2.294904088323848,1.124394497175209,-1.0823483820818742,3.655299360539421,-0.0094942840533097,0.1575681676419955,0.3691471017122176,3.390815733339004,0.2588190451025207,0.5877852522924732,2026-02-25 01:45:00,58149,1,R2d_continuation,7.372857142857161,5149.62,0
0.73817,-0.025237,0.451104,0.332992,-0.013852,0.335368,1.5,0.916667,0.853616,0.0,0.968155,0.102484,1.878678,0.259272,0.476341,0.558946,-1.097408,0.559083,0.648199,1.216783,0.687437,0.2049971059041678,0.2284263959168921,0.85361552027713,0.6605801651094542,0.9332472712927412,1.7002508360954698,0.376045150496119,1.589046822719141,2.272366220702449,-0.007316053511492,0.0622440257178105,0.1820956004787057,1.3168896320877257,0.4999999999999999,0.5877852522924732,2026-02-25 02:35:00,58159,1,R2d_continuation,6.834285714285865,5152.19,0
0.087515,0.291715,0.533256,-0.486588,0.136156,0.305141,1.187803,-0.416667,0.559437,-0.901157,-0.757921,-0.309105,-1.320029,2.838093,-0.824971,0.106311,-1.31883,0.482817,0.980769,0.875274,-0.521239,0.1411552346408433,0.1622058144717578,0.5594366197151746,0.719690617296551,0.7360187931266854,0.6579784504779491,-0.4022575679776873,1.7742432016163845,1.57167778345616,1.0171369933152632,0.3213843694742382,0.1966011370268165,1.292970754214331,0.4999999999999999,0.5877852522924732,2026-02-25 02:40:00,58160,-1,R2b_v_reversal,6.9607142857144675,5147.6,0
0.760615,0.183016,0.704246,0.53566,0.054128,0.719111,1.423287,2.083333,0.890599,0.0,1.347798,-0.174142,2.51476,1.113311,0.52123,1.259615,-1.873798,0.457009,1.377331,0.419958,0.994626,0.1833887043030412,0.2613924050488382,0.8905988624928521,0.8232575120572433,1.2211049508489185,2.5372596153540696,3.087740384578212,4.539663461483932,3.7307692307243694,-0.8665865384511235,0.6462108853573794,0.3769884052808803,1.0817307692177631,0.7071067811865475,0.5877852522924732,2026-02-25 03:05:00,58165,1,R2d_continuation,8.320000000000034,5168.71,1
0.310092,0.105505,0.274312,-0.18925,0.076563,0.032902,1.246427,-0.416667,0.536089,-2.096154,-0.601416,0.024489,-0.383317,0.402026,-0.379817,0.174069,-0.133822,0.672424,22.846154,2.645485,-0.216821,0.2825388323366899,0.2209749839501931,0.5360888340497207,0.774111314907393,0.8602971181271107,0.8240620957225847,3.807388242020055,3.608164438658494,4.064970533234891,0.5825786977086653,-0.1433794699564369,0.5165155673132369,0.9055627425523352,0.7071067811865475,0.5877852522924732,2026-02-25 03:35:00,58171,-1,R2b_v_reversal,9.938571428571452,5182.49,0
0.893617,-0.220503,0.566731,0.506441,-0.095537,-0.062065,1.687475,1.083333,0.666667,1.337646,1.38207,0.24428,1.540677,3.091461,0.787234,-0.416447,0.45182,0.746032,0.820874,0.764505,0.718834,-0.0385674931277753,-0.0673327541381352,0.6666666666618567,0.3768632400452024,0.345464791996611,-0.7155162512805322,0.2009877110338655,-1.1528655104902643,1.0338807855582512,1.2348684965921168,0.0999997125960365,-0.1531901981418811,1.447111519443832,1.0,0.5877852522924732,2026-02-25 06:10:00,58202,1,R2b_v_reversal,6.219285714285694,5180.79,1
0.599526,0.334123,0.533175,0.319653,0.155977,0.015971,0.599006,1.416667,0.871385,0.0,0.231746,-0.301062,0.65009,1.168687,0.199052,0.209726,-1.439041,0.321157,0.379725,0.875556,0.473244,-0.0142481367970226,-0.0469011725406947,0.8713850837072441,0.5281113320652725,0.5223703593216183,0.6017515556482154,-0.538833832671679,-0.4936621341243956,1.847199815595915,0.8824613966209858,0.1101368995949234,-0.1528633570077399,1.451947453306856,1.0,0.5877852522924732,2026-02-25 06:15:00,58203,1,R2d_continuation,6.198571428571346,5183.0,1
0.294949,0.690909,0.280808,0.082824,0.496896,0.444811,1.290743,2.083333,0.699656,0.0,0.639439,-0.002641,0.923142,1.245438,-0.410101,0.687663,-1.523825,0.42599,0.353535,2.561151,0.366985,0.098771419306874,0.2304048233903151,0.6996557659147428,0.6799242509645538,0.9675557668435164,0.8955613576816626,1.137728459503888,0.3746736292341119,1.85737597906958,0.1096605744101309,0.1981784009261116,-0.3777694741590405,2.0561357701879297,0.9659258262890684,0.5877852522924732,2026-02-25 07:05:00,58213,-1,R2b_v_reversal,4.377142857143034,5187.98,0
0.722733,-0.156373,0.289093,0.208937,-0.111167,0.485386,1.400828,1.416667,0.83567,0.0,1.533768,0.932761,0.969855,0.891968,0.445466,0.766398,-0.952819,0.592679,0.311307,2.459091,0.527361,0.2403366583218074,0.2911561001345404,0.8356697819249832,0.7533385075021606,1.0939910534292436,2.193325661629733,3.095512082782528,4.197928653528133,4.064441887133064,-0.2807825086242024,0.6230628541077454,-0.3415583516002742,2.0713463750961427,0.9659258262890684,0.5877852522924732,2026-02-25 07:30:00,58218,1,R2d_continuation,4.34500000000006,5197.51,1
0.421749,-0.380602,0.537105,-0.310582,-0.176179,-0.872343,1.817089,-2.083333,0.193006,0.0,-2.046128,0.128742,-1.447058,0.161622,-0.156503,-2.397494,1.884701,0.457633,0.966931,0.861833,-0.631442,0.035866477259406,-0.1686728859524144,0.1930060524539517,0.2110551831560172,0.3613218265934038,-2.4287079307421706,-0.8680326998491128,0.581165728837298,-0.1798492408933958,3.567257670612704,0.6276016611563324,0.11831403975581,1.3377216264797638,0.8660254037844387,0.5877852522924732,2026-02-25 08:05:00,58225,-1,R2d_continuation,6.727857142857049,5186.66,0
0.963215,-0.549046,0.377384,0.363502,-0.341845,-0.19113,1.340027,-0.083333,0.590643,1.507187,1.101933,0.076185,0.915527,0.935644,0.926431,-0.792834,0.402485,0.6132,46.0,1.649819,0.381769,-0.0636250776105224,-0.1277120315692028,0.59064327484883,0.3129883816766566,0.3601497206922159,0.2224790522924189,-0.7078878936580477,-3.9216989308656505,1.027448714223666,1.1690262929554227,-0.0556583588398319,-0.1319505405083471,1.820283155120694,0.7071067811865476,0.5877852522924732,2026-02-25 09:25:00,58241,1,R2b_v_reversal,4.944285714285603,5189.49,0
0.015244,0.570122,0.39939,-0.393302,0.342421,0.136975,0.816936,0.083333,0.691794,-1.044586,-0.325305,-0.062235,-0.722882,1.849245,-0.969512,0.363956,-0.978746,0.312977,0.656716,1.503817,-0.379333,0.0872894333529097,0.3657171922157529,0.6917938931231987,0.8507698765597927,0.8758287112966434,1.6451782890866835,1.5468118741934818,-0.1524679430842282,3.383804672321585,0.4303530651571715,-0.2195177482074638,-0.2177409160262916,2.213244335094025,0.4999999999999999,0.5877852522924732,2026-02-25 10:35:00,58255,-1,R2b_v_reversal,4.066428571428527,5194.05,1
0.363636,0.595455,0.322727,0.117355,0.403285,0.28336,1.277213,1.416667,0.770492,0.0,0.472907,0.345968,0.974499,0.613159,-0.272727,0.884117,-0.926113,0.360656,0.545775,2.098592,0.3628,-0.0420899855094656,0.3592508512467585,0.7704918032723547,0.8438687815924268,0.6432317285840067,1.6378275970587823,-0.2188190716717772,1.4101673507740102,3.2005052099070066,0.2829175876160412,-0.1612983391095591,-0.1216587254653521,1.9892642879256857,0.258819045102521,0.5877852522924732,2026-02-25 11:35:00,58267,-1,R2b_v_reversal,4.5242857142857895,5191.04,1
0.021429,0.142857,0.814286,-0.796837,0.026531,-0.284663,1.097501,-1.416667,0.01083,0.0,-0.655735,-0.078055,-1.664332,0.001776,-0.957143,-1.120654,0.762781,0.505415,1.043379,0.22807,-0.777209,-0.0200414651234229,-0.2541229385417985,0.0108303249096397,0.3100721909161212,0.1962347723647707,-1.3824130879062972,-0.3496932515265891,-1.8609406952583047,0.535787321052401,2.2413087934101448,0.3385027946407037,-0.0457126767345922,1.8404907975083244,1.2246467991473532e-16,0.5877852522924732,2026-02-25 12:05:00,58273,-1,R2d_continuation,4.890000000000133,5184.26,1
